Rank,Player,Goals
1.0,Alan Shearer,260.0
2.0,Wayne Rooney,208.0
3.0,Andrew Cole,187.0
4.0,Frank Lampard,177.0
5.0,Thierry Henry,175.0
6.0,Sergio Agüero,164.0
7.0,Robbie Fowler,163.0
8.0,Jermain Defoe,162.0
9.0,Michael Owen,150.0
10.0,Les Ferdinand,149.0
11.0,Teddy Sheringham,146.0
12.0,Robin van Persie,144.0
13.0,Jimmy Floyd Hasselbaink,127.0
14.0,Robbie Keane,126.0
15.0,Nicolas Anelka,125.0
15.0,Harry Kane,125.0
17.0,Dwight Yorke,123.0
18.0,Steven Gerrard,120.0
19.0,Romelu Lukaku,113.0
19.0,Ian Wright,113.0
21.0,Dion Dublin,111.0
22.0,Emile Heskey,110.0
23.0,Ryan Giggs,109.0
24.0,Peter Crouch,108.0
25.0,Paul Scholes,107.0
26.0,Darren Bent,106.0
27.0,Didier Drogba,104.0
28.0,Matthew Le Tissier,100.0
29.0,Emmanuel Adebayor,97.0
30.0,Yakubu,95.0
30.0,Ruud van Nistelrooy,95.0
32.0,Dimitar Berbatov,94.0
33.0,Kevin Phillips,92.0
33.0,Mark Viduka,92.0
35.0,James Beattie,91.0
35.0,Ole Gunnar Solskjaer,91.0
37.0,Kevin Davies,88.0
38.0,Dennis Bergkamp,87.0
39.0,Eden Hazard,85.0
39.0,Louis Saha,85.0
39.0,Fernando Torres,85.0
42.0,Cristiano Ronaldo,84.0
42.0,Carlos Tevez,84.0
44.0,Kevin Campbell,83.0
44.0,Chris Sutton,83.0
46.0,Craig Bellamy,81.0
47.0,Gary Speed,80.0
47.0,Jamie Vardy,80.0
49.0,Tony Cottee,78.0
49.0,Olivier Giroud,78.0
51.0,Daniel Sturridge,76.0
52.0,Gabriel Agbonlahor,74.0
53.0,Theo Walcott,73.0
54.0,Chris Armstrong,71.0
54.0,Brian Deane,71.0
56.0,Christian Benteke,70.0
56.0,Eric Cantona,70.0
58.0,Kevin Nolan,69.0
58.0,Luis Suárez,69.0
60.0,Duncan Ferguson,68.0
61.0,Paolo Di Canio,66.0
61.0,Sadio Mané,66.0
61.0,Raheem Sterling,66.0
64.0,Mark Hughes,64.0
65.0,Dean Holdsworth,63.0
65.0,Alexis Sánchez,63.0
67.0,David Beckham,62.0
67.0,Stan Collymore,62.0
67.0,Robert Pires,62.0
67.0,Yaya Touré,62.0
71.0,Niall Quinn,59.0
71.0,Gylfi Sigurdsson,59.0
71.0,Gianfranco Zola,59.0
74.0,Peter Beardsley,58.0
75.0,Lee Bowyer,57.0
75.0,Clint Dempsey,57.0
75.0,Harry Kewell,57.0
78.0,Tim Cahill,56.0
78.0,Jason Euell,56.0
78.0,Kevin Gallacher,56.0
78.0,Mohamed Salah,56.0
82.0,Eidur Gudjohnsen,55.0
82.0,John Hartson,55.0
84.0,Damien Duff,54.0
84.0,Kanu,54.0
84.0,Gustavo Poyet,54.0
84.0,David Silva,54.0
88.0,Nick Barmby,53.0
88.0,Gareth Barry,53.0
88.0,Andy Carroll,53.0
88.0,Steven Fletcher,53.0
88.0,Shane Long,53.0
88.0,James Milner,53.0
94.0,Carlton Cole,52.0
